ID	Group	LoudCue_Long	LoudCue_Short	NoCue_Long	NoCue_Short	MediumCue_Long	MediumCue_Short
422	1	16.2659	16.2662	16.9985	18.9639	16.6322	17.61505
430	1	31.2936	26.9058	29.0575	27.3907	30.17555	27.14825
433	1	58.7979	45.0773	38.6867	47.2353	48.7423	46.1563
434	1	32.9569	34.2594	34.0975	27.1319	33.5272	30.69565
440	1	22.8764	22.0494	17.4188	17.955	20.1476	20.0022
441	1	31.365	30.0049	31.165	31.9072	31.265	30.95605
442	1	52.7966	63.8369	55.1621	44.9717	53.97935	54.4043
443	1	28.8516	24.5069	30.2482	26.2259	29.5499	25.3664
445	1	31.5375	41.814	27.9418	29.848	29.73965	35.831
446	1	35.6334	40.6539	34.5117	43.7275	35.07255	42.1907
447	1	28.4075	30.6944	26.6053	30.3056	27.5064	30.5
448	1	34.2321	39.9048	36.2925	40.0083	35.2623	39.95655
449	1	25.4332	26.9475	21.8985	28.2238	23.66585	27.58565
450	1	32.5799	30.928	33.6085	28.0413	33.0942	29.48465
451	1	35.5767	28.3312	36.9484	34.8892	36.26255	31.6102
452	1	25.9743	28.5943	20.5584	28.0907	23.26635	28.3425
453	1	40.8121	23.7394	24.8435	30.8988	32.8278	27.3191
454	1	55.9957	62.3304	40.2829	48.6779	48.1393	55.50415
455	1	25.8974	26.7599	20.9196	22.8657	23.4085	24.8128
456	1	44.4079	31.4763	32.5917	43.6964	38.4998	37.58635
457	1	25.6991	27.0817	23.0373	23.9492	24.3682	25.51545
458	1	26.7433	24.5218	21.9442	20.2474	24.34375	22.3846
460	1	23.1924	26.7105	25.0351	25.5296	24.11375	26.12005
461	1	31.1039	27.2852	26.058	25.5219	28.58095	26.40355
462	1	28.6059	25.8765	26.1079	20.542	27.3569	23.20925
463	1	23.5516	25.877	24.301	23.3257	23.9263	24.60135
464	1	68.3376	50.5996	53.0248	59.5255	60.6812	55.06255
465	1	51.1372	40.5379	50.9947	50.0396	51.06595	45.28875
466	1	45.9481	40.2804	43.6863	45.0703	44.8172	42.67535
467	1	28.3643	28.6529	23.7994	25.6459	26.08185	27.1494
468	1	41.2152	39.3297	42.4828	43.8796	41.849	41.60465
469	1	45.6572	41.5202	37.5912	46.5116	41.6242	44.0159
470	1	19.3728	17.4708	19.1566	20.2013	19.2647	18.83605
471	1	26.6907	23.3758	25.4073	24.9792	26.049	24.1775
507	2	34.2523	21.3479	22.3704	19.9384	24.60744	21.93224
508	2	18.6625	22.0997	17.1209	20.7735	18.83299	22.85085
509	2	25.5435	31.8485	24.3667	25.8133	26.80337	28.39463
510	2	19.9105	20.8618	25.0194	22.0168	27.52134	24.21848
511	2	25.1229	28.5054	22.9358	25.461	25.22938	28.0071
513	2	23.0599	27.123	19.2027	20.2911	21.12297	22.32021
514	2	26.1	19.7969	21.9794	18.3952	24.17734	20.23472
515	2	35.5339	21.21	39.9558	23.8418	43.95138	26.22598
516	2	18.7433	20.4968	21.3259	21.3615	23.45849	23.49765
517	2	18.7573	18.2792	17.7655	18.8102	19.54205	20.69122
518	2	30.7122	22.4633	35.039	27.0596	38.5429	29.76556
519	2	33.6272	52.5366	29.3296	40.5836	32.26256	44.64196
520	2	32.9017	36.2182	41.7433	34.1036	45.91763	37.51396
521	2	28.1426	30.5386	42.4601	25.4152	46.70611	27.95672
522	2	28.0142	22.4752	27.4726	15.9203	30.21986	17.51233
523	2	27.5087	16.2779	13.8273	15.3184	15.21003	16.85024
524	2	24.1334	21.0199	12.8541	15.7777	14.13951	17.35547
525	2	22.9233	32.4964	30.8009	26.13	33.88099	28.743
526	2	15.6531	17.2153	14.1308	15.1429	15.54388	16.65719
527	2	21.9047	21.9027	23.6062	20.6919	25.96682	22.76109
528	2	21.3056	18.1975	20.5384	21.0717	22.59224	23.17887
529	2	27.2195	26.869	21.6861	30.0142	23.85471	33.01562
530	2	27.531	27.6215	27.3553	20.653	30.09083	22.7183
531	2	26.6219	26.3	22.4907	22.9529	24.73977	25.24819
533	2	19.6861	17.5607	12.6424	18.9774	13.90664	20.87514
534	2	36.9794	31.6217	29.1753	27.8148	32.09283	30.59628
535	2	22.807	21.986	25.2463	22.3126	27.77093	24.54386
536	2	28.4238	25.4791	23.4371	25.8685	25.78081	28.45535
538	2	25.3904	40.7647	26.6061	34.6191	29.26671	38.08101
539	2	51.5284	32.8899	40.3436	37.5437	44.37796	41.29807
540	2	43.441	26.7961	27.3301	31.0535	30.06311	34.15885
541	2	33.602	33.1468	35.3402	34.705	38.87422	38.1755
a04	3	34.7091	34.7091	38.2413	38.2413	38.2413	38.2413
p36	3	17.2365	17.2365	21.9108	21.9108	21.9108	21.9108
p21	3	16.9268	16.9268	12.2002	12.2002	12.2002	12.2002
p22	3	11.088	11.088	10.415	10.415	10.415	10.415
p17	3	13.9565	13.9565	17.7287	17.7287	17.7287	17.7287
p23	3	15.715	15.715	20.0735	20.0735	20.0735	20.0735
p29	3	31.7118	31.7118	15.7479	15.7479	15.7479	15.7479
p14	3	24.3537	24.3537	23.5731	23.5731	23.5731	23.5731
p31	3	14.635	14.635	16.547	16.547	16.547	16.547
p30	3	17.6151	17.6151	13.6023	13.6023	13.6023	13.6023
p11	3	3.67776	3.67776	2.91293	2.91293	2.91293	2.91293
p34	3	27.7352	27.7352	18.0984	18.0984	18.0984	18.0984
a12	3	29.4234	29.4234	31.2525	31.2525	31.2525	31.2525
p5	3	16.169	16.169	12.234	12.234	12.234	12.234
p16	3	20.5891	20.5891	17.6093	17.6093	17.6093	17.6093
p10	3	6.62886	6.62886	8.0578	8.0578	8.0578	8.0578
p15	3	18.6085	18.6085	14.1302	14.1302	14.1302	14.1302
a01	3	36.2902	36.2902	22.6661	22.6661	22.6661	22.6661
p33	3	23.0699	23.0699	22.3904	22.3904	22.3904	22.3904
p3	3	27.9642	27.9642	23.4152	23.4152	23.4152	23.4152
p24	3	27.8703	27.8703	18.4296	18.4296	18.4296	18.4296
p35	3	22.3581	22.3581	19.9865	19.9865	19.9865	19.9865
a05	3	20.2827	20.2827	15.4842	15.4842	15.4842	15.4842
a11	3	25.2711	25.2711	32.8485	32.8485	32.8485	32.8485
p26	3	29.1815	29.1815	22.826	22.826	22.826	22.826
a03	3	14.7565	14.7565	11.1291	11.1291	11.1291	11.1291
p27	3	16.5169	16.5169	19.7992	19.7992	19.7992	19.7992
p32	3	23.8961	23.8961	19.3003	19.3003	19.3003	19.3003
p38	3	20.4013	20.4013	18.886	18.886	18.886	18.886
p37	3	23.9402	23.9402	20.2458	20.2458	20.2458	20.2458
p12	3	14.6275	14.6275	9.8096	9.8096	9.8096	9.8096
p20	3	10.5938	10.5938	11.3648	11.3648	11.3648	11.3648
